"Region_ID","Region_Name","Region_Lat","Region_Lon","Vaccine_Name","Vaccine_Abbreviation","Age_Group","Coverage_Percentage","Year_Value"
1,"Piemonte",45.0732745,7.680687483,"Morbillo","MOR","5-6 years","89.22",2023
1,"Piemonte",45.0732745,7.680687483,"Parotite","PAR","5-6 years","88.93",2023
1,"Piemonte",45.0732745,7.680687483,"Rosolia","ROS","5-6 years","89.17",2023
1,"Piemonte",45.0732745,7.680687483,"Varicella","VAR","5-6 years","60.8",2023
1,"Piemonte",45.0732745,7.680687483,"Difterite","DIF","5-6 years","90.59",2023
1,"Piemonte",45.0732745,7.680687483,"Tetano","TET","5-6 years","90.59",2023
1,"Piemonte",45.0732745,7.680687483,"Pertosse","PER","5-6 years","90.53",2023
1,"Piemonte",45.0732745,7.680687483,"Polio","POL","5-6 years","90.55",2023
2,"Valle d'Aosta",45.73750286,7.320149366,"Morbillo","MOR","5-6 years","90.89",2023
2,"Valle d'Aosta",45.73750286,7.320149366,"Parotite","PAR","5-6 years","90.04",2023
2,"Valle d'Aosta",45.73750286,7.320149366,"Rosolia","ROS","5-6 years","90.89",2023
2,"Valle d'Aosta",45.73750286,7.320149366,"Varicella","VAR","5-6 years","53.71",2023
2,"Valle d'Aosta",45.73750286,7.320149366,"Difterite","DIF","5-6 years","90.57",2023
2,"Valle d'Aosta",45.73750286,7.320149366,"Tetano","TET","5-6 years","90.68",2023
2,"Valle d'Aosta",45.73750286,7.320149366,"Pertosse","PER","5-6 years","90.57",2023
2,"Valle d'Aosta",45.73750286,7.320149366,"Polio","POL","5-6 years","90.36",2023
3,"Lombardia",45.46679409,9.190347404,"Morbillo","MOR","5-6 years","93.36",2023
3,"Lombardia",45.46679409,9.190347404,"Parotite","PAR","5-6 years","92.93",2023
3,"Lombardia",45.46679409,9.190347404,"Rosolia","ROS","5-6 years","93.26",2023
3,"Lombardia",45.46679409,9.190347404,"Varicella","VAR","5-6 years","76.86",2023
3,"Lombardia",45.46679409,9.190347404,"Difterite","DIF","5-6 years","92.96",2023
3,"Lombardia",45.46679409,9.190347404,"Tetano","TET","5-6 years","92.99",2023
3,"Lombardia",45.46679409,9.190347404,"Pertosse","PER","5-6 years","92.91",2023
3,"Lombardia",45.46679409,9.190347404,"Polio","POL","5-6 years","93.02",2023
21,"Bolzano",46.49933453,11.35662422,"Morbillo","MOR","5-6 years","74.77",2023
21,"Bolzano",46.49933453,11.35662422,"Parotite","PAR","5-6 years","74.53",2023
21,"Bolzano",46.49933453,11.35662422,"Rosolia","ROS","5-6 years","74.62",2023
21,"Bolzano",46.49933453,11.35662422,"Varicella","VAR","5-6 years","60.44",2023
21,"Bolzano",46.49933453,11.35662422,"Difterite","DIF","5-6 years","73.71",2023
21,"Bolzano",46.49933453,11.35662422,"Tetano","TET","5-6 years","73.76",2023
21,"Bolzano",46.49933453,11.35662422,"Pertosse","PER","5-6 years","73.66",2023
21,"Bolzano",46.49933453,11.35662422,"Polio","POL","5-6 years","73.51",2023
22,"Trento",46.06893511,11.12123097,"Morbillo","MOR","5-6 years","91.35",2023
22,"Trento",46.06893511,11.12123097,"Parotite","PAR","5-6 years","91.04",2023
22,"Trento",46.06893511,11.12123097,"Rosolia","ROS","5-6 years","91.16",2023
22,"Trento",46.06893511,11.12123097,"Varicella","VAR","5-6 years","75.73",2023
22,"Trento",46.06893511,11.12123097,"Difterite","DIF","5-6 years","91.66",2023
22,"Trento",46.06893511,11.12123097,"Tetano","TET","5-6 years","91.66",2023
22,"Trento",46.06893511,11.12123097,"Pertosse","PER","5-6 years","91.64",2023
22,"Trento",46.06893511,11.12123097,"Polio","POL","5-6 years","91.66",2023
5,"Veneto",45.43490485,12.33845213,"Morbillo","MOR","5-6 years","88.84",2023
5,"Veneto",45.43490485,12.33845213,"Parotite","PAR","5-6 years","88.34",2023
5,"Veneto",45.43490485,12.33845213,"Rosolia","ROS","5-6 years","88.76",2023
5,"Veneto",45.43490485,12.33845213,"Varicella","VAR","5-6 years","85.51",2023
5,"Veneto",45.43490485,12.33845213,"Difterite","DIF","5-6 years","88.46",2023
5,"Veneto",45.43490485,12.33845213,"Tetano","TET","5-6 years","88.58",2023
5,"Veneto",45.43490485,12.33845213,"Pertosse","PER","5-6 years","88.42",2023
5,"Veneto",45.43490485,12.33845213,"Polio","POL","5-6 years","88.51",2023
6,"Friuli-Venezia Giulia",45.6494354,13.76813649,"Morbillo","MOR","5-6 years","91.62",2023
6,"Friuli-Venezia Giulia",45.6494354,13.76813649,"Parotite","PAR","5-6 years","91.36",2023
6,"Friuli-Venezia Giulia",45.6494354,13.76813649,"Rosolia","ROS","5-6 years","91.4",2023
6,"Friuli-Venezia Giulia",45.6494354,13.76813649,"Varicella","VAR","5-6 years","85.78",2023
6,"Friuli-Venezia Giulia",45.6494354,13.76813649,"Difterite","DIF","5-6 years","91.99",2023
6,"Friuli-Venezia Giulia",45.6494354,13.76813649,"Tetano","TET","5-6 years","92.07",2023
